idFormulario1;numEjemplarF1;fecha;esHospedaje;idMacrozona;idZonaGrupo;idCoordinador;idSupervisor;idAtractor;clave catastral;referencia;idNovedad
3046;3807;02/04/2020;false;2;7;2;1;14;6.01E+16;iglesia ubicada en la calle Aristoteles;El horario de atencion no coincide con el horario del barrido
3047;3808;02/04/2020;false;2;7;2;1;11;6.01E+16;parque ubicado en la esquina de la pedro lopez de argudo;Ninguna
3048;3809;02/04/2020;false;2;7;2;1;3;6.01E+15;centro de cuidado y control de tareas Gotitas de amor;Ninguna
3049;3810;02/04/2020;false;2;7;2;1;19;6.01E+16;calle democrito;El predio no esta en funcionamiento
3050;3811;02/04/2020;false;2;7;2;1;19;6.01E+16;abelardo j andrade y jose de cardenas;El predio no esta en funcionamiento
3051;3812;02/03/2020;false;1;1;1;1;4;1.02E+16;padre aguirre;Otra
3052;3813;03/03/2020;false;2;7;2;1;19;6.01E+16;Bosque con quebrada;Ninguna
3053;3815;02/03/2020;false;1;1;1;1;3;1.02E+16;Ubicado en la Padre Aguire;Ninguna
3054;3816;02/03/2020;false;1;1;1;1;3;1.02E+16;Restaurante ubicado en la Mariscar Lamr;Ninguna
3055;3817;02/03/2020;false;1;1;1;1;3;1.02E+16;HONDA entre la Sim«ü∂¸n Bolivar y Padre Aguirre;Ninguna
3056;3818;03/03/2020;false;2;7;2;1;19;6.01E+16;Gobierno Autonomo;Ninguna
